Nivel,Empresa,Sector,Zona,Telefono,WhatsApp/Correo,Contacto/Decisor,Tamano aprox,Senal (por que ahora),Canal preferido,Fecha 1er contacto,Ultima accion,Proxima accion,Fecha proxima accion,Estatus
HOT,Grupo Coliman,Agroindustria (limon/platano),Tecoman,(313) 332-4891,,Pedir RH corporativo (socio COPARMEX),Grande,Personal de campo masivo + socio COPARMEX,Evento COPARMEX / referido,,,Llamar conmutador y pedir RH,,Nuevo
HOT,Citrojugo,Agroindustria (proceso citricos),Tecoman,+52 313 324-2655,Cel +52 55 2858-7686,Pedir RH (ver pagina /our-team),251+ empleados,Plantilla grande + contrata activamente,WhatsApp/Llamada,,,Revisar /our-team e identificar RH,,Nuevo
HOT,LITECO (Limones de Tecoman Colima),Agroindustria (empaque limon),Tecoman,+52 313 324-1588,informacion@liteco.com.mx,Ernesto Orona Flores (GG) / Elias Romero Avalos (Ventas),Mediana-grande,Exportador con auditorias + decisores con nombre,Correo personalizado,,,Escribir a GG mencionando reforma 2027,,Nuevo
HOT,Embotelladora de Colima (Coca-Cola/GOCSA),Industria (bebidas),Colima,312 313-4400,embotelladoradecolima@gocsa.mx,Pedir RH / Relaciones Laborales,1069+ colaboradores,Volumen enorme + choferes de reparto,Llamada a conmutador,,,Llamar y pedir RH,,Nuevo
WARM,Limones Prolim de Colima,Agroindustria (empaque),Tecoman,313-324-5149,ventas@limonesprolim.com,Pedir en conmutador,Mediana,Exporta EUA/Canada,Correo/Llamada,,,Escribir a ventas para canalizar,,Nuevo
WARM,Limones Moreno,Agroindustria (empaque),Tecoman,+52 313 324-3666,yoremoreno@limonesmoreno.com.mx (verificar),Pedir en conmutador,Mediana (familiar),Familiar crecio sin RH formal,WhatsApp/Llamada,,,Confirmar correo y contactar,,Nuevo
WARM,AELTSA (Aceites Esenciales de Limon de Tecoman),Agroindustria (aceites),Tecoman,313-324-1255,,Pedir en conmutador,Mediana,Planta de proceso continuo = turnos,Llamada,,,Llamar y pedir administracion/RH,,Nuevo
WARM,Terminal de Servicios Hazesa,Logistica portuaria,Manzanillo,+52 314 336-5896,,Pedir en conmutador,Mediana,Maniobristas y turnos portuarios,Llamada,,,Llamar conmutador,,Nuevo
WARM,Ferrepacifico,Distribucion industrial,Manzanillo,(314) 336-4720,,Pedir en conmutador,Mediana,Personal mixto almacen/ventas/reparto,Llamada,,,Llamar conmutador,,Nuevo
WARM,Representaciones SOCA del Pacifico,Logistica,Manzanillo,+52 314 138-4083,,Pedir en conmutador,Chica-mediana,Sector logistico portuario,Llamada,,,Llamar conmutador,,Nuevo
HOT,Barcelo Karmina,Hoteleria (resort),Manzanillo,314 331-1300,RH 314 331-1314 / WhatsApp RH 314 109-0395,RH directo (publicado),Grande,RH directo + rotacion altisima,WhatsApp RH directo,,,Escribir al WhatsApp de RH,,Nuevo
HOT,Las Hadas by Brisas,Hoteleria (resort+golf),Manzanillo,314 331-0101,,Pedir RH,Grande,Plantilla numerosa y mixta (propinas/eventual),Llamada,,,Llamar y pedir RH,,Nuevo
WARM,Tesoro Manzanillo,Hoteleria (resort),Manzanillo,314 331-2210,ReservacionesGteMzlo@tesororesorts.com,Pedir RH,Mediana-grande,Rotacion de temporada,Llamada,,,Llamar y pedir RH,,Nuevo
WARM,Holiday Inn Express Manzanillo,Hoteleria (negocios IHG),Manzanillo,314 331-2330,,Pedir gerencia/RH,Chica-mediana,Cadena con estandares de compliance,Llamada,,,Llamar y pedir gerencia,,Nuevo
WARM,City Express by Marriott Manzanillo,Hoteleria (negocios Marriott),Manzanillo,314 331-3030,,Pedir gerencia/RH,Chica-mediana,Cadena con estandares de compliance,Llamada,,,Llamar y pedir gerencia,,Nuevo
WARM,Limones Citros de Tecoman,Agroindustria (empaque),Tecoman,(313) 324-2--- (confirmar),limonescitros.com,Rodolfo Gudino Novoa (Director),Mediana (familiar),Decisor con nombre,Llamada/Correo,,,Confirmar telefono en sitio y contactar,,Nuevo
WARM,Limones Tito,Agroindustria (empaque),Tecoman,(313) 324-2613,,Pedir dueno/conmutador,Chica-mediana (familiar),ICP claro decisor accesible,Llamada,,,Llamar conmutador,,Nuevo
WARM,Vanguardia Consultores Comercio Exterior,Agencia aduanal,Manzanillo,314 333-7012,,Pedir socio director/administracion,Mediana,Cultura de cumplimiento (vive auditada),Llamada,,,Llamar y pedir administracion,,Nuevo
WARM,Agencia Aduanal NMC,Agencia aduanal,Manzanillo,314 332-4060,,Pedir administracion,Mediana,Personal mixto trafico/operativo,Llamada,,,Llamar conmutador,,Nuevo
WARM,Grupo Bolt,Agencia aduanal (grupo nacional),Manzanillo,01 800 999-0687,,Pedir oficina Manzanillo / RH regional,Grande,Area de RH formal = ticket mayor,Llamada,,,Llamar 800 y pedir oficina Manzanillo,,Nuevo
